timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777239367455,4434,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-284,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4434,0,24
1777239367615,4274,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-366,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4274,0,7
1777239367320,4569,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-206,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4569,0,2
1777239368092,3807,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-262,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,3807,0,1
1777239367593,4306,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-276,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4306,0,9
1777239367325,4581,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-364,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4581,0,1
1777239367324,4583,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-343,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4583,0,0
1777239367547,4361,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-328,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4361,0,1
1777239367586,4326,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-325,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4326,0,5
1777239367444,4477,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-319,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4477,0,1
1777239367556,4366,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-318,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4366,0,1
1777239367324,4598,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-243,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4598,0,1
1777239367781,4142,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-256,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4142,0,1
1777239368116,3808,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-233,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,3808,0,91
1777239367428,4496,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-391,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4496,0,4
1777239367628,4297,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-327,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4297,0,1
1777239368078,3847,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-267,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,3847,0,2
1777239367583,4343,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-332,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4342,0,8
1777239368093,3856,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-254,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,3856,0,14
1777239367624,4325,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-279,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4325,0,2
1777239367422,4527,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-376,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4527,0,2
1777239367442,4507,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-380,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4507,0,1
1777239367312,4637,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-257,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4637,0,1
1777239367592,4357,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-300,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4357,0,0
1777239367778,4173,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-390,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4173,0,1
1777239367689,4263,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-397,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4262,0,1
1777239367595,4357,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-378,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4357,0,8
1777239367583,4368,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-365,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4368,0,7
1777239367425,4526,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-296,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4526,0,6
1777239367592,4361,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-398,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4361,0,1
1777239368094,3859,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-264,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,3859,0,15
1777239367592,4361,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-301,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4361,0,0
1777239368091,3863,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-225,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,3863,0,2
1777239367781,4173,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-268,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4173,0,2
1777239367629,4325,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-346,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4325,0,1
1777239367385,4569,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-331,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4569,0,0
1777239368088,3866,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-217,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,3866,0,2
1777239367324,4631,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-360,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4630,0,0
1777239368109,3846,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-229,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,3846,0,93
1777239367424,4531,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-323,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4531,0,1
1777239368110,3844,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-242,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,3844,0,92
1777239367594,4363,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-299,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4363,0,8
1777239367781,4176,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-269,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4176,0,1
1777239367689,4268,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-400,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4268,0,1
1777239367625,4332,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-310,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4332,0,2
1777239368050,3908,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-235,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,3908,0,1
1777239368091,3867,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-249,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,3867,0,2
1777239367320,4638,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-265,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4638,0,1
1777239367587,4372,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-278,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4372,0,4
1777239367781,4178,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-208,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4178,0,1
1777239367585,4374,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-353,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4374,0,6
1777239367593,4366,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-340,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4366,0,1
1777239368072,3888,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-266,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,3887,0,2
1777239367780,4180,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-253,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4180,0,1
1777239367443,4518,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-384,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4518,0,2
1777239367484,4476,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-317,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4476,0,8
1777239367553,4408,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-359,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4408,0,1
1777239367484,4477,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-363,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4477,0,6
1777239368084,3878,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-216,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,3878,0,4
1777239370870,1190,GET /restaurants (search),200,OK,Week4 Load Group 1-287,text,true,,1409,150,197,197,http://localhost:8004/restaurants?search=pizza&city=San+Jose,1190,0,1
1777239370851,1216,GET /restaurants (search),200,OK,Week4 Load Group 1-377,text,true,,1409,150,197,197,http://localhost:8004/restaurants?search=pizza&city=San+Jose,1215,0,1
1777239370876,1202,GET /restaurants (search),200,OK,Week4 Load Group 1-347,text,true,,1409,150,197,197,http://localhost:8004/restaurants?search=pizza&city=San+Jose,1202,0,1
1777239370851,1227,GET /restaurants (search),200,OK,Week4 Load Group 1-324,text,true,,1409,150,197,197,http://localhost:8004/restaurants?search=pizza&city=San+Jose,1227,0,1
1777239370948,1144,GET /restaurants (search),200,OK,Week4 Load Group 1-392,text,true,,1409,150,197,197,http://localhost:8004/restaurants?search=pizza&city=San+Jose,1144,0,1
1777239370863,1230,GET /restaurants (search),200,OK,Week4 Load Group 1-286,text,true,,1409,150,197,197,http://localhost:8004/restaurants?search=pizza&city=San+Jose,1230,0,1
1777239371100,1019,GET /restaurants (search),200,OK,Week4 Load Group 1-342,text,true,,1409,150,197,197,http://localhost:8004/restaurants?search=pizza&city=San+Jose,1019,0,1
1777239367459,4717,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-316,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,4717,0,18
1777239372093,107,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-392,text,false,Test failed: code expected to contain /202/,227,292,197,197,http://localhost:8001/restaurants/1/reviews,106,0,1
1777239372060,139,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-287,text,false,Test failed: code expected to contain /202/,227,292,197,197,http://localhost:8001/restaurants/1/reviews,139,0,1
1777239372079,120,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-324,text,false,Test failed: code expected to contain /202/,227,292,197,197,http://localhost:8001/restaurants/1/reviews,120,0,0
1777239372078,124,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-347,text,false,Test failed: code expected to contain /202/,227,292,197,197,http://localhost:8001/restaurants/1/reviews,124,0,1
1777239372067,135,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-377,text,false,Test failed: code expected to contain /202/,227,292,197,197,http://localhost:8001/restaurants/1/reviews,135,0,1
1777239372120,82,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-342,text,false,Test failed: code expected to contain /202/,227,292,197,197,http://localhost:8001/restaurants/1/reviews,82,0,2
1777239372094,112,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-286,text,false,Test failed: code expected to contain /202/,227,292,197,197,http://localhost:8001/restaurants/1/reviews,112,0,0
1777239372202,65,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-347,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,65,0,1
1777239372202,65,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-377,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,65,0,1
1777239372200,67,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-392,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,67,0,1
1777239372200,68,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-287,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,67,0,1
1777239372200,72,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-324,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,72,0,1
1777239372202,74,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-342,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,74,0,1
1777239372206,72,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-286,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,72,0,1
1777239371124,3541,GET /restaurants (search),200,OK,Week4 Load Group 1-246,text,true,,1409,150,197,197,http://localhost:8004/restaurants?search=pizza&city=San+Jose,3540,0,1
1777239371124,3541,GET /restaurants (search),200,OK,Week4 Load Group 1-383,text,true,,1409,150,197,197,http://localhost:8004/restaurants?search=pizza&city=San+Jose,3540,0,1
1777239374667,22,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-246,text,false,Test failed: code expected to contain /202/,227,292,197,197,http://localhost:8001/restaurants/1/reviews,21,0,1
1777239374667,22,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-383,text,false,Test failed: code expected to contain /202/,227,292,197,197,http://localhost:8001/restaurants/1/reviews,22,0,1
1777239371140,3607,GET /restaurants (search),200,OK,Week4 Load Group 1-282,text,true,,1409,150,197,197,http://localhost:8004/restaurants?search=pizza&city=San+Jose,3607,0,1
1777239374689,62,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-246,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,62,0,1
1777239374690,64,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-383,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,64,0,0
1777239371149,3606,GET /restaurants (search),200,OK,Week4 Load Group 1-289,text,true,,1409,150,197,197,http://localhost:8004/restaurants?search=pizza&city=San+Jose,3606,0,2
1777239374748,60,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-282,text,false,Test failed: code expected to contain /202/,227,292,197,197,http://localhost:8001/restaurants/1/reviews,60,0,0
1777239374755,53,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-289,text,false,Test failed: code expected to contain /202/,227,292,197,197,http://localhost:8001/restaurants/1/reviews,53,0,1
1777239374808,70,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-282,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,69,0,1
